objectId,fall_year,vid_id,ACL,bludger_count,time,updatedAt,author_id,stat_name,player_in_id,player_id,createdAt,team_id,position
1A2guV3t5S_in,2017,cymWjIuO0JI,null,,0,Fri Jan 12 2018 13:02:22 GMT-0600 (Central Standard Time),nwlMkrbCJ9,sub_in,,IzRiCkJapn,Fri Jan 12 2018 13:02:22 GMT-0600 (Central Standard Time),72aC65hDVy,chaser
5QJ3u8G8tj_in,2017,cymWjIuO0JI,null,,0,Fri Jan 12 2018 13:02:19 GMT-0600 (Central Standard Time),nwlMkrbCJ9,sub_in,,YdQSbEvRfY,Fri Jan 12 2018 13:02:19 GMT-0600 (Central Standard Time),72aC65hDVy,chaser
B5ZbmcZ7aq_in,2017,cymWjIuO0JI,null,,0,Fri Jan 12 2018 13:02:28 GMT-0600 (Central Standard Time),nwlMkrbCJ9,sub_in,,HCUHlfP7mQ,Fri Jan 12 2018 13:02:28 GMT-0600 (Central Standard Time),72aC65hDVy,beater
YFW5wFVPUt_in,2017,cymWjIuO0JI,null,,0,Fri Jan 12 2018 13:02:15 GMT-0600 (Central Standard Time),nwlMkrbCJ9,sub_in,,yJNLpStfbI,Fri Jan 12 2018 13:02:15 GMT-0600 (Central Standard Time),72aC65hDVy,chaser
g8UQSWDCF4_in,2017,cymWjIuO0JI,null,,0,Fri Jan 12 2018 13:02:32 GMT-0600 (Central Standard Time),nwlMkrbCJ9,sub_in,,VPjtzA2rCb,Fri Jan 12 2018 13:02:32 GMT-0600 (Central Standard Time),72aC65hDVy,beater
yOXgoVbgsd_in,2017,cymWjIuO0JI,null,,0,Fri Jan 12 2018 13:02:25 GMT-0600 (Central Standard Time),nwlMkrbCJ9,sub_in,,AgJAMYYdpK,Fri Jan 12 2018 13:02:25 GMT-0600 (Central Standard Time),72aC65hDVy,keeper
bffZx9Mwdp,2017,cymWjIuO0JI,null,,8,Fri Jan 12 2018 13:03:49 GMT-0600 (Central Standard Time),nwlMkrbCJ9,control_change,,,Fri Jan 12 2018 13:03:49 GMT-0600 (Central Standard Time),72aC65hDVy,
APIeSvcdIM,2017,cymWjIuO0JI,null,,18,Fri Jan 12 2018 13:04:43 GMT-0600 (Central Standard Time),nwlMkrbCJ9,goal,,yJNLpStfbI,Fri Jan 12 2018 13:04:43 GMT-0600 (Central Standard Time),72aC65hDVy,
Ain5PUeSij,2017,cymWjIuO0JI,null,,18,Fri Jan 12 2018 13:04:43 GMT-0600 (Central Standard Time),nwlMkrbCJ9,goal,,,Fri Jan 12 2018 13:04:43 GMT-0600 (Central Standard Time),RB5Ov9alvr,
JPeTw7cCz0,2017,cymWjIuO0JI,null,,41,Fri Jan 12 2018 13:05:35 GMT-0600 (Central Standard Time),nwlMkrbCJ9,control_change,,,Fri Jan 12 2018 13:05:35 GMT-0600 (Central Standard Time),RB5Ov9alvr,
yjnTDVbANC_out,2017,cymWjIuO0JI,null,,48,Fri Jan 26 2018 13:32:37 GMT-0600 (Central Standard Time),nwlMkrbCJ9,sub_out,,VPjtzA2rCb,Fri Jan 26 2018 13:32:37 GMT-0600 (Central Standard Time),72aC65hDVy,
yjnTDVbANC_in,2017,cymWjIuO0JI,null,,48,Fri Jan 26 2018 13:32:37 GMT-0600 (Central Standard Time),nwlMkrbCJ9,sub_in,,qfOVFUW4gU,Fri Jan 26 2018 13:32:37 GMT-0600 (Central Standard Time),72aC65hDVy,
iixhpsf11s_out,2017,cymWjIuO0JI,null,,51,Fri Jan 26 2018 13:33:02 GMT-0600 (Central Standard Time),nwlMkrbCJ9,sub_out,,YdQSbEvRfY,Fri Jan 26 2018 13:33:02 GMT-0600 (Central Standard Time),72aC65hDVy,
iixhpsf11s_in,2017,cymWjIuO0JI,null,,51,Fri Jan 26 2018 13:33:02 GMT-0600 (Central Standard Time),nwlMkrbCJ9,sub_in,,G3nNSLEziD,Fri Jan 26 2018 13:33:02 GMT-0600 (Central Standard Time),72aC65hDVy,
ZbQguPuDkn,2017,cymWjIuO0JI,null,,69,Fri Jan 26 2018 13:31:47 GMT-0600 (Central Standard Time),nwlMkrbCJ9,turnover,,yJNLpStfbI,Fri Jan 26 2018 13:31:47 GMT-0600 (Central Standard Time),72aC65hDVy,
bhgmqKz2H8,2017,cymWjIuO0JI,null,,73,Fri Jan 26 2018 13:31:58 GMT-0600 (Central Standard Time),nwlMkrbCJ9,goal,,,Fri Jan 26 2018 13:31:58 GMT-0600 (Central Standard Time),RB5Ov9alvr,
j3KTRPp2WY,2017,cymWjIuO0JI,null,,73,Fri Jan 26 2018 13:31:58 GMT-0600 (Central Standard Time),nwlMkrbCJ9,goal,,,Fri Jan 26 2018 13:31:58 GMT-0600 (Central Standard Time),RB5Ov9alvr,
33N7DZllFk,2017,cymWjIuO0JI,null,,101,Fri Jan 26 2018 13:33:44 GMT-0600 (Central Standard Time),nwlMkrbCJ9,turnover,,AgJAMYYdpK,Fri Jan 26 2018 13:33:44 GMT-0600 (Central Standard Time),72aC65hDVy,
00fkuV1QuH,2017,cymWjIuO0JI,null,,112,Fri Jan 26 2018 13:34:11 GMT-0600 (Central Standard Time),nwlMkrbCJ9,goal,,,Fri Jan 26 2018 13:34:11 GMT-0600 (Central Standard Time),RB5Ov9alvr,
TiyQlPHVOK,2017,cymWjIuO0JI,null,,112,Fri Jan 26 2018 13:34:11 GMT-0600 (Central Standard Time),nwlMkrbCJ9,goal,,,Fri Jan 26 2018 13:34:11 GMT-0600 (Central Standard Time),RB5Ov9alvr,
FdEAdNJyGY,2017,cymWjIuO0JI,null,,134,Fri Jan 26 2018 13:35:06 GMT-0600 (Central Standard Time),nwlMkrbCJ9,assist,,yJNLpStfbI,Fri Jan 26 2018 13:35:06 GMT-0600 (Central Standard Time),72aC65hDVy,
