objectId,createdAt,updatedAt,ACL,team_id,fall_year,player_ids
09PT4NMj9Q,Fri Dec 04 2015 20:10:12 GMT-0600 (Central Standard Time),Sat Dec 05 2015 18:40:42 GMT-0600 (Central Standard Time),null,l5ct7xY8Cg,2015,"[""L3k9RRartz"",""io4tRdVxe0"",""v34SZAlh8O""]"
0lYCLIDSur,Mon Mar 27 2017 11:34:56 GMT-0500 (Central Daylight Time),Mon Mar 27 2017 11:34:56 GMT-0500 (Central Daylight Time),null,lR5uXaimjI,2016,
1eWx3IlLhU,Thu Nov 17 2016 10:53:44 GMT-0600 (Central Standard Time),Thu Nov 17 2016 10:53:44 GMT-0600 (Central Standard Time),null,q4t17aUQvP,2016,
1rarCNRBwV,Thu Aug 12 2021 16:55:23 GMT-0500 (Central Daylight Time),Thu Aug 12 2021 16:55:23 GMT-0500 (Central Daylight Time),null,dasZO9xYI9,2021,
2UTLJX9XD9,Thu Aug 06 2020 08:51:29 GMT-0500 (Central Daylight Time),Thu Aug 06 2020 08:51:29 GMT-0500 (Central Daylight Time),null,1d2WW8vOCr,2018,"[""XwuQUAiIik"",""6StjzskCUG"",""2I09HLJ1K4"",""CWtbW6IMnw"",""0unM9q7yYD"",""rKrIfcsOW1"",""7EDnO5gKrL"",""kJlU8DWCZz"",""XCBzYCCTEg"",""AKBuEiMdEz"",""BCu8lNpZd9"",""oDt8p4zp3c"",""Mahdedzoe0"",""rLuvcJEl7W"",""0cPf7prEb0"",""1HP5hTQB0v"",""eyvNRYsvfB"",""i97iYhgznd""]"
537kF8ZdtG,Wed Jul 28 2021 18:02:23 GMT-0500 (Central Daylight Time),Wed Jul 28 2021 18:02:23 GMT-0500 (Central Daylight Time),null,PTGvEk67Na,2021,
5GbSymvijB,Fri Dec 04 2015 03:08:50 GMT-0600 (Central Standard Time),Fri Dec 04 2015 03:08:50 GMT-0600 (Central Standard Time),null,x08kJZJT9E,2015,"[""z1KLKNrWGg"",""LYtWpeMeKh"",""KteR1cy5sN"",""QK7VvpQ7Ye"",""4ecsJccKdH"",""iMlYJcVFIu"",""T2okH7zvM8"",""h8ckLhTQev"",""aEdtk391pk"",""F0SC0eTfis"",""Ljohqm8J8M"",""4yYfo5mAsJ"",""AG5wwJuSIk"",""pyBS3o1A9e"",""V9E4VNAb2h"",""H5rzpUSedi"",""08QOG1WsNz"",""KiDbcWNWHw"",""NcJGiQUCSN"",""8A2mysJ41Q"",""ObNSSxANSy""]"
7EEqlCmqGS,Tue Nov 08 2016 12:52:07 GMT-0600 (Central Standard Time),Tue Nov 08 2016 12:52:07 GMT-0600 (Central Standard Time),null,7uCf7mKMsz,2016,
8si1MTAJ4t,Mon Jan 25 2016 21:16:38 GMT-0600 (Central Standard Time),Mon Jan 25 2016 21:16:38 GMT-0600 (Central Standard Time),null,D47tZYGxLA,2015,"[""CLciaXnWY2"",""h5TB6Wz2AS"",""3fpzgQob60"",""u2rxqsbPXq"",""zuCb8Ql2zg"",""6BKAN9WNWw"",""PaYdQQP5Cg"",""0Pahc1kay4"",""gToKy3iDOL"",""I9Lf6ZCy5I"",""VUyUB3mhAD"",""2nbtfTnvdr"",""9K4crkkmfA"",""awvL4z5LjI"",""58WHHPQ4uk"",""jxbCwUADdX"",""wAAEtpExvY"",""9eJv24OKHP"",""XWLFvENJYH"",""SDZcD8OEUO"",""nGFUao1T28"",""n3NM0Ty4CQ"",""pQgEPks7gQ"",""9depCHGHgX"",""odQ9Kj5NVq""]"
90b5YkJbfr,Thu Nov 05 2015 09:11:37 GMT-0600 (Central Standard Time),Thu Nov 05 2015 09:45:33 GMT-0600 (Central Standard Time),null,03h0GIgF90,2015,"[""MyRRRTdDWw"",""jDkwCcjm97"",""AFBp2l4SoG"",""PFH8mRJr3G"",""CwpT9epLgh"",""F2PlBYAu8o"",""mrNtl0DtIC"",""6bY4InEDBz"",""bksPdNm1jb"",""917jFZ5oi8"",""QwTn0NQtk8"",""NJZDNzTUTg"",""g41NODsuZ9"",""9duPKvfocc"",""PvN4cMv9Wh"",""ilMpGNL2NH"",""OSU72txBmR"",""Rrmr9iIZDq""]"
