objectId,fall_year,vid_id,ACL,bludger_count,time,updatedAt,author_id,stat_name,player_in_id,player_id,createdAt,team_id
01axrFEXor,2017,UduPUwNkXKU,null,2,2365,Wed Feb 07 2018 20:30:38 GMT-0600 (Central Standard Time),PnUcE7oTGf,OFFENSE,,,Wed Feb 07 2018 20:30:38 GMT-0600 (Central Standard Time),0eHM4yAUtR
0BmY6FQQbe,2017,UduPUwNkXKU,null,2,264,Wed Jan 31 2018 12:38:46 GMT-0600 (Central Standard Time),PnUcE7oTGf,OFFENSE,,,Wed Jan 31 2018 12:38:46 GMT-0600 (Central Standard Time),0eHM4yAUtR
0KVfovwj4f,2017,UduPUwNkXKU,null,1,2955,Wed Feb 07 2018 21:02:40 GMT-0600 (Central Standard Time),PnUcE7oTGf,DEFENSE,,,Wed Feb 07 2018 21:02:40 GMT-0600 (Central Standard Time),ZONaVCJXMP
0Lh424APZe,2017,UduPUwNkXKU,null,2,2365,Wed Feb 07 2018 20:30:38 GMT-0600 (Central Standard Time),PnUcE7oTGf,DEFENSE,,,Wed Feb 07 2018 20:30:38 GMT-0600 (Central Standard Time),ZONaVCJXMP
0MLSBgAywX,2017,UduPUwNkXKU,null,,2550,Wed Feb 07 2018 20:47:30 GMT-0600 (Central Standard Time),PnUcE7oTGf,GAIN_CONTROL,,,Wed Feb 07 2018 20:47:30 GMT-0600 (Central Standard Time),ZONaVCJXMP
0S9k6KQug1,2017,UduPUwNkXKU,null,,2550,Wed Feb 07 2018 20:47:30 GMT-0600 (Central Standard Time),PnUcE7oTGf,LOSE_CONTROL,,,Wed Feb 07 2018 20:47:30 GMT-0600 (Central Standard Time),0eHM4yAUtR
0XoqE4S6g8,2017,UduPUwNkXKU,null,,0,Wed Jan 31 2018 12:26:05 GMT-0600 (Central Standard Time),PnUcE7oTGf,SUB,oDiylfxaCV,chaserB,Wed Jan 31 2018 12:26:05 GMT-0600 (Central Standard Time),ZONaVCJXMP
0cIB02DA7B,2017,UduPUwNkXKU,null,,1872,Wed Jan 31 2018 17:14:03 GMT-0600 (Central Standard Time),PnUcE7oTGf,GAIN_CONTROL,,,Wed Jan 31 2018 17:14:03 GMT-0600 (Central Standard Time),ZONaVCJXMP
0kzyeaCTO3,2017,UduPUwNkXKU,null,0,1309,Wed Jan 31 2018 13:05:13 GMT-0600 (Central Standard Time),PnUcE7oTGf,OFFENSE,,,Wed Jan 31 2018 13:05:13 GMT-0600 (Central Standard Time),0eHM4yAUtR
17u10elkzT,2017,UduPUwNkXKU,null,,2660,Wed Feb 07 2018 20:50:57 GMT-0600 (Central Standard Time),PnUcE7oTGf,TURNOVER,,pPsyr6tcke,Wed Feb 07 2018 20:50:57 GMT-0600 (Central Standard Time),ZONaVCJXMP
1FbWoFxA92,2017,UduPUwNkXKU,null,0,2014,Wed Feb 07 2018 19:56:55 GMT-0600 (Central Standard Time),PnUcE7oTGf,DEFENSE,,,Wed Feb 07 2018 19:56:55 GMT-0600 (Central Standard Time),0eHM4yAUtR
1HA6NszNTH,2017,UduPUwNkXKU,null,,1193,Wed Jan 31 2018 13:02:01 GMT-0600 (Central Standard Time),PnUcE7oTGf,START_CLOCK,,,Wed Jan 31 2018 13:02:01 GMT-0600 (Central Standard Time),ZONaVCJXMP
1MhxHdNyUe,2017,UduPUwNkXKU,null,0,2955,Wed Feb 07 2018 21:02:39 GMT-0600 (Central Standard Time),PnUcE7oTGf,OFFENSE,,,Wed Feb 07 2018 21:02:39 GMT-0600 (Central Standard Time),0eHM4yAUtR
