objectId,fall_year,vid_id,ACL,bludger_count,time,updatedAt,author_id,stat_name,player_in_id,player_id,createdAt,team_id
00fkuV1QuH,2017,cymWjIuO0JI,null,,112,Fri Jan 26 2018 13:34:11 GMT-0600 (Central Standard Time),nwlMkrbCJ9,AWAY_GOAL,,,Fri Jan 26 2018 13:34:11 GMT-0600 (Central Standard Time),72aC65hDVy
00g3vIDp8A,2015,Z2abZPr6jAU,null,,278,Wed Nov 11 2015 16:44:37 GMT-0600 (Central Standard Time),nwlMkrbCJ9,SUB,3chZpnf9Am,GkiVRch1K4,Wed Nov 11 2015 16:44:37 GMT-0600 (Central Standard Time),72aC65hDVy
00uT2RN8lZ,2017,2V2pN9kH3WU,null,,1482,Wed Sep 20 2017 17:40:13 GMT-0500 (Central Daylight Time),PnUcE7oTGf,AWAY_GOAL,,,Wed Sep 20 2017 17:40:13 GMT-0500 (Central Daylight Time),ZONaVCJXMP
019c3h73b7,2021,9F7I5Zh_nfM,null,,876,Fri Sep 03 2021 17:34:42 GMT-0500 (Central Daylight Time),qEosoYINFN,GAIN_CONTROL,,,Fri Sep 03 2021 17:34:42 GMT-0500 (Central Daylight Time),9pknZhSrVp
01CCu5I6Ca,2015,MIs-9904vQU,null,0,1196,Wed May 11 2016 10:53:34 GMT-0500 (Central Daylight Time),nwlMkrbCJ9,OFFENSIVE_DRIVE,,,Wed May 11 2016 10:53:34 GMT-0500 (Central Daylight Time),72aC65hDVy
01COgDZjHD,2012,qiiOBmKXJgI,null,,1090,Thu Feb 21 2019 22:16:35 GMT-0600 (Central Standard Time),vvVTwV67s3,START_CLOCK,,,Thu Feb 21 2019 22:16:35 GMT-0600 (Central Standard Time),hiXRckO3HR
01DTxAv3gZ,2016,eBc3SiV8cDI,null,0,1488,Tue Mar 28 2017 11:44:52 GMT-0500 (Central Daylight Time),nwlMkrbCJ9,OFFENSE,,,Tue Mar 28 2017 11:44:52 GMT-0500 (Central Daylight Time),72aC65hDVy
01F72cEPgQ,2015,SS4HEYF172k,null,1,1130,Fri Jul 08 2016 18:01:49 GMT-0500 (Central Daylight Time),X3X3bWXs8E,DEFENSIVE_DRIVE,,,Fri Jul 08 2016 18:01:49 GMT-0500 (Central Daylight Time),1Tq5ZLgKzB
01HVXCDLO6,2016,A85CM8PTj4w,null,,2746,Thu Jun 08 2017 21:03:25 GMT-0500 (Central Daylight Time),OMXrnEWOS7,SUB,90dAl4qsWY,v34SZAlh8O,Thu Jun 08 2017 21:03:25 GMT-0500 (Central Daylight Time),pFe1cFCeHX
01Nz9iSG5D,2016,2eMd_rpUHiM,null,,119,Tue Nov 08 2016 13:48:06 GMT-0600 (Central Standard Time),nwlMkrbCJ9,PAUSE_CLOCK,,,Tue Nov 08 2016 13:48:06 GMT-0600 (Central Standard Time),72aC65hDVy
