objectId,createdAt,updatedAt,ACL,team_name
03h0GIgF90,Thu Nov 05 2015 09:11:37 GMT-0600 (Central Standard Time),Thu Nov 05 2015 09:11:37 GMT-0600 (Central Standard Time),null,Rochester United
0SjMMpwkhk,Sun Jan 24 2016 13:38:14 GMT-0600 (Central Standard Time),Sun Jan 24 2016 13:38:14 GMT-0600 (Central Standard Time),null,Crimson Elite
0eHM4yAUtR,Wed Jan 31 2018 12:22:18 GMT-0600 (Central Standard Time),Wed Jan 31 2018 12:22:18 GMT-0600 (Central Standard Time),null,Arizona State
0u9gVPYVvD,Mon Jan 25 2016 21:09:33 GMT-0600 (Central Standard Time),Mon Jan 25 2016 21:09:33 GMT-0600 (Central Standard Time),null,The Warriors
1Tq5ZLgKzB,Wed Jun 22 2016 23:12:54 GMT-0500 (Central Daylight Time),Wed Jun 22 2016 23:14:42 GMT-0500 (Central Daylight Time),null,Team France
1d2WW8vOCr,Thu Aug 06 2020 08:51:29 GMT-0500 (Central Daylight Time),Thu Aug 06 2020 08:51:29 GMT-0500 (Central Daylight Time),null,Southwest Broadside
3p9G6BhuYM,Thu Nov 17 2016 10:54:39 GMT-0600 (Central Standard Time),Thu Nov 17 2016 10:54:39 GMT-0600 (Central Standard Time),null,Toledo
4tA6jxuCvC,Thu Nov 17 2016 10:55:00 GMT-0600 (Central Standard Time),Thu Nov 17 2016 10:55:00 GMT-0600 (Central Standard Time),null,Grand Valley State University
5YE5IIV3k4,Sun Oct 09 2016 20:51:56 GMT-0500 (Central Daylight Time),Sun Oct 09 2016 20:51:56 GMT-0500 (Central Daylight Time),null,Falcon Warriors
72aC65hDVy,Tue Sep 22 2015 13:13:47 GMT-0500 (Central Daylight Time),Wed Oct 07 2015 13:33:26 GMT-0500 (Central Daylight Time),null,Michigan Quidditch
7k4NM5D7Jc,Sat May 02 2020 13:08:39 GMT-0500 (Central Daylight Time),Fri May 08 2020 21:37:05 GMT-0500 (Central Daylight Time),null,Boston Night Riders
7uCf7mKMsz,Tue Nov 08 2016 12:52:07 GMT-0600 (Central Standard Time),Tue Nov 08 2016 12:52:07 GMT-0600 (Central Standard Time),null,SIUE
7vxFQLlQ93,Sun Jul 03 2016 00:28:13 GMT-0500 (Central Daylight Time),Sun Jul 03 2016 00:28:13 GMT-0500 (Central Daylight Time),null,Team Italy
