objectId,fall_year,vid_id,ACL,updatedAt,createdAt,description,team_id,opponent_id
03ybb91s8f,2015,8QQO3REkvXc,null,Wed Jul 06 2016 00:12:57 GMT-0500 (Central Daylight Time),Wed Jul 06 2016 00:12:57 GMT-0500 (Central Daylight Time),Euro Games Germany,1Tq5ZLgKzB,cYlqGU5idc
09BEZbQc1R,2016,G5tFTFev02k,null,Thu Mar 08 2018 18:22:34 GMT-0600 (Central Standard Time),Thu Mar 08 2018 18:22:34 GMT-0600 (Central Standard Time),Guardians Game 1,pFe1cFCeHX,xs2G82eckS
0V2GXrPjCc,2015,aY_wHPTeF_Y,null,Thu Dec 10 2015 15:04:47 GMT-0600 (Central Standard Time),Thu Dec 10 2015 15:04:47 GMT-0600 (Central Standard Time),Indy Game 1,wl56jgemqS,
0kFQ3K34lv,2017,UduPUwNkXKU,null,Wed Jan 31 2018 12:22:57 GMT-0600 (Central Standard Time),Wed Jan 31 2018 12:22:57 GMT-0600 (Central Standard Time),HVI Arizona State,ZONaVCJXMP,0eHM4yAUtR
17QkbS64d7,2015,ApsmJUJ17LU,null,Wed Jun 22 2016 01:17:12 GMT-0500 (Central Daylight Time),Fri May 20 2016 22:40:11 GMT-0500 (Central Daylight Time),US Nat 9 Penn State,72aC65hDVy,sDwvaTBIyS
1BxQeyCRZW,2017,aGDFDvCYeyM,null,Sun Mar 04 2018 20:54:06 GMT-0600 (Central Standard Time),Sun Mar 04 2018 20:54:06 GMT-0600 (Central Standard Time),Quid on Ice MSU,ZONaVCJXMP,cD5a3uVJvc
2HsoBQmq7b,2015,Qdp_wjqk_pk,null,Tue Dec 15 2015 16:04:22 GMT-0600 (Central Standard Time),Tue Dec 15 2015 16:04:22 GMT-0600 (Central Standard Time),Indy Game 2,aguEb8e6HQ,
2ILEMMeWk1,2016,nVzedv6-9zI,null,Mon Mar 27 2017 11:33:23 GMT-0500 (Central Daylight Time),Mon Mar 27 2017 11:33:23 GMT-0500 (Central Daylight Time),Dobby Memorial 2017: BGSU,72aC65hDVy,J4jYCZM9jX
2OPi6KJMt0,2015,uiH4PSMPXSo,null,Tue Jun 28 2016 20:27:18 GMT-0500 (Central Daylight Time),Tue Jun 28 2016 20:27:06 GMT-0500 (Central Daylight Time),Euro Games UK,x08kJZJT9E,mhnUAAk8wm
2cCtYyI1Me,2016,FUKdpamxFX4,null,Mon Mar 27 2017 11:37:54 GMT-0500 (Central Daylight Time),Mon Mar 27 2017 11:37:54 GMT-0500 (Central Daylight Time),Dobby Memorial 2017: Ohio University,72aC65hDVy,zQMAAAh5aT
2d2U1nwS9R,2015,6lqg4MqePfY,null,Thu Dec 10 2015 15:05:39 GMT-0600 (Central Standard Time),Thu Dec 10 2015 15:05:39 GMT-0600 (Central Standard Time),Indy Game 3,wl56jgemqS,
2rsdv9aMLA,2015,W2GiX5pmGzw,null,Tue Dec 06 2016 14:12:01 GMT-0600 (Central Standard Time),Tue Dec 06 2016 14:12:01 GMT-0600 (Central Standard Time),WC 2016 Team Australia,NGA0DzgJnH,b0FK1qJldP
